ChuckDrivePositionCountActual	ChuckDrivePositionCountActual	ChuckTempControlDCBiasActVoltage	ChuckTempControlDCBiasActVoltage	ChuckTempControlSensor	ChuckTempControlSensor	CurrentStepNumber	CurrentStepNumber	DCActualCurrent	DCActualCurrent	DCActualPower	DCActualPower	DCActualVoltage	DCActualVoltage	DCHardArcPerRun	DCHardArcPerRun	DCMicroArcPerRun	DCMicroArcPerRun	DCPowerCorrection	DCPowerCorrection	DCShieldLifeCounter	DCShieldLifeCounter	DCTargetLifeCounter	DCTargetLifeCounter	FlexiCathMagnetPositionSensor	FlexiCathMagnetPositionSensor	GasVacuumSystemGas1Sensor	GasVacuumSystemGas1Sensor	GasVacuumSystemGas3Sensor	GasVacuumSystemGas3Sensor	GasVacuumSystemPressureReaderManagerPressure	GasVacuumSystemPressureReaderManagerPressure	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	MatchingSeriesCapacitorPositionSensor	MatchingSeriesCapacitorPositionSensor	MatchingShuntCapacitorPositionSensor	MatchingShuntCapacitorPositionSensor	ProcessTimerTimeCorrection	ProcessTimerTimeCorrection	RFBiasDCVoltageSensor	RFBiasDCVoltageSensor	RFBiasLoadPowerCorrection	RFBiasLoadPowerCorrection	RFBiasLoadPowerSensor	RFBiasLoadPowerSensor	RFBiasReflectedPowerSensor	RFBiasReflectedPowerSensor	
msec	SerInc	msec	V	msec	degC	msec	no unit	msec	A	msec	W	msec	V	msec	no unit	msec	no unit	msec	%	msec	kWh	msec	kWh	msec	mm	msec	sccm	msec	sccm	msec	mTorr	msec	mTorr	msec	steps	msec	steps	msec	%	msec	V	msec	%	msec	W	msec	W	
114	12298	335	0	1331	82	114	1	1206	0.0	831	0	457	1	1081	151	956	4322	335	-4.2	707	50.5058	582	806.359	335	25.14	114	0.0	1331	0.0	1206	9.68878e-4	707	9.77998e-4	582	660	457	350	1206	-3.36	1331	0	956	-4.8	1081	0	831	0	---	---	
1456	12298	1580	0	2579	82	1456	1	2454	0.0	2080	0	1705	1	2329	151	2204	4322	1580	-4.2	1955	50.5058	1830	806.359	1580	25.14	1456	0.0	2579	0.0	2454	9.50891e-4	1955	9.50891e-4	1830	660	1705	350	2454	-3.36	2579	0	2204	-4.8	2329	0	2080	0	---	---	
2704	12298	2829	0	3827	82	2704	1	3702	0.0	3328	0	2953	1	3577	151	3453	4322	2829	-4.2	3203	50.5058	3078	806.359	2829	25.14	2704	0.0	3827	0.0	3702	9.33238e-4	3203	9.42023e-4	3078	660	2953	350	3702	-3.36	3827	0	3453	-4.8	3577	0	3328	0	---	---	
3952	12298	4077	0	5075	82	3952	1	4951	0.0	4576	0	4202	1	4826	151	4701	4322	4077	-4.2	4451	50.5058	4326	806.359	4077	25.14	3952	0.0	5075	0.0	4951	9.24536e-4	4451	9.24536e-4	4326	660	4202	350	4951	-3.36	5075	0	4701	-4.8	4826	0	4576	0	---	---	
5200	12298	5325	0	6323	82	5200	1	6198	0.0	5824	0	5450	1	6074	151	5949	4322	5325	-4.2	5699	50.5058	5574	806.359	5325	25.14	5200	0.0	6323	0.0	6198	9.07371e-4	5699	9.07371e-4	5574	660	5450	350	6198	-3.36	6323	0	5949	-4.8	6074	0	5824	0	---	---	
6448	12298	6573	0	7572	82	6448	1	7447	0.0	7072	0	6698	1	7322	151	7197	4322	6573	-4.2	6947	50.5058	6823	806.359	6573	25.14	6448	0.0	7572	0.0	7447	8.9891e-4	6948	8.9891e-4	6823	660	6698	350	7447	-3.36	7572	0	7197	-4.8	7322	0	7072	0	---	---	
7696	12298	7821	-1	8820	82	7696	1	8695	0.0	8320	0	7946	1	8570	151	8445	4322	7821	-4.2	8196	50.5058	8071	806.359	7821	25.14	7696	0.0	8820	0.0	8695	8.90527e-4	8196	8.90527e-4	8071	660	7946	350	8695	-3.36	8820	-1	8445	-4.8	8570	0	8320	0	---	---	
8944	12298	9069	-1	10068	82	8944	1	9943	0.0	9569	0	9194	1	9818	151	9693	4322	9069	-4.2	9444	50.5058	9320	806.359	9069	25.14	8944	0.0	10068	0.0	9943	8.73995e-4	9444	8.82221e-4	9320	660	9194	350	9943	-3.36	10068	-1	9693	-4.8	9818	0	9569	0	---	---	
10193	12298	10318	-1	11316	82	10193	1	11191	0.0	10817	0	10442	1	11066	151	10941	4322	10318	-4.2	10692	50.5058	10567	806.359	10318	25.14	10193	0.0	11316	0.0	11191	8.65844e-4	10692	8.65844e-4	10567	660	10442	350	11191	-3.36	11316	-1	10942	-4.8	11066	0	10817	0	---	---	
11441	12298	11565	0	12563	82	11441	1	12439	0.0	12064	0	11690	1	12314	151	12189	4322	11565	-4.2	11940	50.5058	11815	806.359	11565	25.14	11441	0.0	12563	0.0	12439	8.57769e-4	11940	8.57769e-4	11815	660	11690	350	12439	-3.36	12564	0	12189	-4.8	12314	0	12064	0	---	---	
12688	12298	12813	0	13811	82	12688	1	13687	0.0	13312	0	12938	1	13562	151	13437	4322	12813	-4.2	13187	50.5058	13063	806.359	12813	25.14	12688	0.0	13811	0.0	13687	8.41845e-4	13187	8.41845e-4	13063	660	12938	350	13687	-3.36	13811	-1	13437	-4.8	13562	0	13312	0	---	---	
13936	12298	14061	-1	15059	82	13936	1	14934	0.0	14560	0	14186	1	14809	151	14685	4322	14061	-4.2	14436	50.5058	14311	806.359	14061	25.14	13936	0.0	15059	0.0	14934	8.33994e-4	14436	8.41845e-4	14311	660	14186	350	14934	-3.36	15059	-1	14685	-4.8	14809	0	14560	0	---	---	
15184	12298	15309	-1	16307	82	15184	1	16182	0.0	15808	0	15433	1	16057	151	15932	4322	15309	-4.2	15683	50.5058	15558	806.359	15309	25.14	15184	0.0	16307	0.0	16182	8.26216e-4	15683	8.26216e-4	15558	660	15433	350	16182	-3.36	16307	0	15932	-4.8	16057	0	15808	0	---	---	
