HistoricalDataLogger file: HistoricalWaferDataLogs\PM5\Std_PM5.1429514.16AA.11-17-2016.6-35-57.txt

Version:   SW=4.7.0 of 3/10/16     Config=UP-CLC 4.7
Control Source: Local
machineID: Machine	waferId: 1429514.16	Recipe: TSO_A_770nm
Equipment: CLN200  for  Epcos, P/2910  on  pcma3020
User:      system

Reset Logging Event Name	nil
Start Logging Event Name	PreparingForOperationSetStarted
Stop Logging Event Name		OperationSetEnded


Start:(November 17, 2016   6:35:42 AM)(0)	End:(November 17, 2016   7:08:05 AM) (1943012)                                                                

Channel Data: 
Number of channels =	26	Duration = 1943.01 (sec)        
Channel 1	name =	ChuckDrivePositionCountActual	period =1000ms	1433 samples                
Channel 2	name =	ChuckTempControlDCBiasActVoltage	period =1000ms	1433 samples                
Channel 3	name =	ChuckTempControlSensor	period =1000ms	1432 samples                
Channel 4	name =	CurrentStepNumber	period =1000ms	1433 samples                
Channel 5	name =	DCActualCurrent	period =1000ms	1433 samples                
Channel 6	name =	DCActualPower	period =1000ms	1433 samples                
Channel 7	name =	DCActualVoltage	period =1000ms	1433 samples                
Channel 8	name =	DCHardArcPerRun	period =1000ms	1433 samples                
Channel 9	name =	DCMicroArcPerRun	period =1000ms	1433 samples                
Channel 10	name =	DCPowerCorrection	period =1000ms	1433 samples                
Channel 11	name =	DCShieldLifeCounter	period =1000ms	1433 samples                
Channel 12	name =	DCTargetLifeCounter	period =1000ms	1433 samples                
Channel 13	name =	FlexiCathMagnetPositionSensor	period =1000ms	1433 samples                
Channel 14	name =	GasVacuumSystemGas1Sensor	period =1000ms	1433 samples                
Channel 15	name =	GasVacuumSystemGas3Sensor	period =1000ms	1432 samples                
Channel 16	name =	GasVacuumSystemPressureReaderManagerPressure	period =1000ms	1433 samples                
Channel 17	name =	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	period =1000ms	1433 samples                
Channel 18	name =	MatchingSeriesCapacitorPositionSensor	period =1000ms	1433 samples                
Channel 19	name =	MatchingShuntCapacitorPositionSensor	period =1000ms	1433 samples                
Channel 20	name =	ProcessTimerTimeCorrection	period =1000ms	1433 samples                
Channel 21	name =	RFBiasDCVoltageSensor	period =1000ms	1432 samples                
Channel 22	name =	RFBiasLoadPowerCorrection	period =1000ms	1433 samples                
Channel 23	name =	RFBiasLoadPowerSensor	period =1000ms	1433 samples                
Channel 24	name =	RFBiasReflectedPowerSensor	period =1000ms	1433 samples                
Channel 25	name =	WaferIDRead	period =1000ms	1433 samples                
Channel 26	  name = 	zzEvent	period = undefined	undefined samples

No. of steps = 4
Step   	_Ar            	_N2            	_O2            	author         	ChuckDriveProce	ChuckDriveProce	ChuckDriveProce	ChuckGasFlowSet	ChuckGasPressur	ChuckTemperatur	ChuckTemperatur	ChuckTemperatur	cleanAfterStep 	comment        	DCChopperFreque	DCChopperPulsWi	DCControlMode  	DCCurrentSetpoi	DCPowerModulati	DCPowerModulati	DCPowerModulati	DCPowerSetpoint	DCRampTime     	DCVoltageSetpoi	DCXHardArcPerRu	DCXMicroArcPerR	FlexiCathMagnet	FlexiCathMagnet	FlexiCathTiltCo	FlexiCathTiltCo	jobSettablePara	lastUpdate     	MatchingSeriesC	MatchingShuntCa	name           	owner          	powerOnAfterSte	Pressure       	ProcessEndCondi	ProcessTime    	processType    	PumpMode       	RecipeExecution	RFBiasControlMo	RFBiasDCVoltage	RFBiasLoadPower	RFBiasRampTime 	RFBiasReflected	ThrottleEnable 	
(Units)	(sccm)         	(sccm)         	(sccm)         	(none)         	()             	(SerOffsInc)   	()             	(sccm)         	(mTorr)        	()             	(degC)         	()             	(none)         	(none)         	(kHz)          	(ns)           	()             	(A)            	(%)            	()             	(Degree)       	(W)            	(s)            	(V)            	()             	()             	()             	(mm)           	(none)         	(none)         	(none)         	(none)         	(steps)        	(steps)        	(none)         	(none)         	(none)         	(mTorr)        	()             	(s)            	(none)         	()             	()             	()             	(V)            	(W)            	(s)            	(W)            	()             	
1      	0.0            	0.0            	0.0            	system         	SetpAndComp    	0              	Process        	0.0            	0.0            	Setpoint       	70.0           	10             	false          	               	350.0          	1000           	Power          	0.0            	0.0            	None           	0.0            	0.0            	0.0            	0.0            	0              	0              	Recipe         	25.0           	0.0            	0              	OrderedCollecti	2016/08/16 09:4	660            	350            	TSO_A_Evac     	system         	false          	6.75057e-2     	Pressure       	15.0           	               	Pumpdown       	true           	DCVoltage      	0.0            	0.0            	0.0            	0.0            	false          	

2      	35.0           	0.0            	30.0           	system         	SetpAndComp    	0              	Process        	0.0            	0.0            	DontChange     	0.0            	0.0            	false          	               	350.0          	1000           	Power          	0.0            	0.0            	None           	0.0            	0.0            	0.0            	0.0            	0              	0              	None           	0.0            	0.0            	0.0            	OrderedCollecti	2016/04/29 16:5	0              	0              	TSO_A_Stab     	system         	false          	0.0            	Time           	15.0           	               	Pumpdown       	true           	DCVoltage      	0.0            	0.0            	0.0            	0.0            	true           	

3      	35.0           	0.0            	30.0           	system         	SetpAndComp    	0              	Process        	0.0            	0.0            	DontChange     	0.0            	0.0            	false          	               	350.0          	1000           	Power          	0.0            	0.0            	None           	0.0            	2000.0         	0.0            	250.0          	0              	0              	None           	0.0            	0.0            	0.0            	OrderedCollecti	2016/05/11 14:5	0              	0              	TSO_A_770nm    	system         	false          	0.0            	Time           	1925.0         	               	Pumpdown       	false          	LoadPower      	0.0            	90.0           	0.0            	1.0            	true           	

4      	0.0            	0.0            	0.0            	system         	SetpAndComp    	0              	Process        	0.0            	0.0            	DontChange     	0.0            	0.0            	false          	               	350.0          	1000           	Power          	0.0            	0.0            	None           	0.0            	0.0            	0.0            	0.0            	0              	0              	None           	0.0            	0.0            	0.0            	OrderedCollecti	2016/04/29 16:5	0              	0              	TSO_A_EvacClean	system         	false          	7.50064e-4     	Time           	5.0            	               	Pumpdown       	false          	DCVoltage      	0.0            	0.0            	0.0            	0.0            	false          	


HistoricalData:
ChuckDrivePositionCountActual	ChuckDrivePositionCountActual	ChuckTempControlDCBiasActVoltage	ChuckTempControlDCBiasActVoltage	ChuckTempControlSensor	ChuckTempControlSensor	CurrentStepNumber	CurrentStepNumber	DCActualCurrent	DCActualCurrent	DCActualPower	DCActualPower	DCActualVoltage	DCActualVoltage	DCHardArcPerRun	DCHardArcPerRun	DCMicroArcPerRun	DCMicroArcPerRun	DCPowerCorrection	DCPowerCorrection	DCShieldLifeCounter	DCShieldLifeCounter	DCTargetLifeCounter	DCTargetLifeCounter	FlexiCathMagnetPositionSensor	FlexiCathMagnetPositionSensor	GasVacuumSystemGas1Sensor	GasVacuumSystemGas1Sensor	GasVacuumSystemGas3Sensor	GasVacuumSystemGas3Sensor	GasVacuumSystemPressureReaderManagerPressure	GasVacuumSystemPressureReaderManagerPressure	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	MatchingSeriesCapacitorPositionSensor	MatchingSeriesCapacitorPositionSensor	MatchingShuntCapacitorPositionSensor	MatchingShuntCapacitorPositionSensor	ProcessTimerTimeCorrection	ProcessTimerTimeCorrection	RFBiasDCVoltageSensor	RFBiasDCVoltageSensor	RFBiasLoadPowerCorrection	RFBiasLoadPowerCorrection	RFBiasLoadPowerSensor	RFBiasLoadPowerSensor	RFBiasReflectedPowerSensor	RFBiasReflectedPowerSensor	WaferIDRead	WaferIDRead	
msec	SerInc	msec	V	msec	degC	msec	no unit	msec	A	msec	W	msec	V	msec	no unit	msec	no unit	msec	%	msec	kWh	msec	kWh	msec	mm	msec	sccm	msec	sccm	msec	mTorr	msec	mTorr	msec	steps	msec	steps	msec	%	msec	V	msec	%	msec	W	msec	W	msec	no unit	
62	12307	186	0	1185	71	62	1	1060	0.0	686	0	311	0	935	0	810	472	186	0.2	561	223.861	436	714.042	186	25.14	62	0.0	1185	0.0	1060	8.03316e-4	561	7.81051e-4	436	660	311	350	1060	-0.65	1185	0	810	-3.9	935	0	686	0	935	142951402	---	---	
1310	12307	1434	0	2433	71	1310	1	2308	0.0	1934	0	1559	0	2183	0	2058	472	1434	0.2	1810	223.861	1685	714.042	1434	25.14	1310	0.0	2433	0.0	2308	8.03316e-4	1810	8.10878e-4	1685	660	1559	350	2308	-0.65	2433	0	2058	-3.9	2183	0	1934	0	2183	142951402	---	---	
2558	12307	2682	-1	3681	71	2558	1	3556	0.0	3182	0	2807	0	3431	0	3306	472	2682	0.2	3057	223.861	2932	714.042	2682	25.14	2558	0.0	3681	0.0	3556	7.81051e-4	3057	7.81051e-4	2932	660	2807	350	3556	-0.65	3681	-1	3306	-3.9	3431	0	3182	0	3431	142951402	---	---	
3806	12307	3930	-1	4929	71	3806	1	4804	0.0	4429	0	4055	0	4679	0	4554	472	3930	0.2	4305	223.861	4180	714.042	3930	25.14	3806	0.0	4929	0.0	4804	7.6655e-4	4305	7.73766e-4	4180	660	4055	350	4804	-0.65	4929	-1	4554	-3.9	4679	0	4429	0	4679	142951402	---	---	
5053	12307	5178	-1	6177	71	5053	1	6052	0.0	5678	0	5303	0	5927	0	5802	472	5178	0.2	5553	223.861	5428	714.042	5178	25.14	5053	0.0	6177	0.0	6052	7.5232e-4	5553	7.6655e-4	5428	660	5303	350	6052	-0.65	6177	-1	5802	-3.9	5927	0	5678	0	5927	142951402	---	---	
6302	12307	6426	-1	7425	71	6302	1	7300	0.0	6926	0	6551	0	7175	0	7050	472	6426	0.2	6801	223.861	6676	714.042	6426	25.14	6302	0.0	7425	0.0	7300	7.45303e-4	6801	7.45303e-4	6676	660	6551	350	7300	-0.65	7425	0	7050	-3.9	7175	0	6926	0	7175	142951402	---	---	
7550	12307	7674	0	8673	71	7550	1	8548	0.0	8174	0.0	7799	0	8423	0	8298	472	7674	0.2	8049	223.861	7924	714.042	7674	25.14	7550	0.0	8673	0.0	8548	7.38353e-4	8049	7.38353e-4	7924	660	7799	350	8548	-0.65	8673	0	8298	-3.9	8423	0	8174	0	8423	142951402	---	---	
8798	-110686	8923	0	9921	71	8798	1	9796	0.0	9422	0	9047	0.0	9671	0	9547	472	8923	0.2	9297	223.861	9172	714.042	8923	25.14	8798	0.0	9921	0.0	9796	7.24645e-4	9297	7.24645e-4	9172	660	9047	350	9796	-0.65	9921	0	9547	-3.9	9671	0	9422	0	9671	142951402	---	---	
10046	-110686	10171	0	11169	71	10046	2	11044	0.0	10670	0	10295	0.0	10919	0	10795	472	10171	0.2	10545	223.861	10420	714.042	10171	25.14	10046	0.0	11169	30.3681	11044	2.60945	10545	1.34165	10420	660	10295	350	11044	-0.65	11169	0	10795	-3.9	10919	0	10670	0	10919	142951402	---	---	
11294	-110686	11419	0	12402	71	11294	2	12277	0.0	11902	0	11544	0	12152	0	12027	472	11419	0.2	11777	223.861	11657	714.042	11419	25.14	11294	35.548	12402	30.3232	12277	3.7959	11778	3.6907	11657	660	11544	350	12277	-0.65	12402	0	12027	-3.9	12152	0	11902	0	12152	142951402	---	---	
12526	-110686	12651	0	13712	71	12526	2	13587	0.0	13213	0	12838	0	13462	0	13338	472	12651	0.2	13088	223.861	12963	714.042	12651	25.14	12526	35.548	13712	30.3232	13587	3.8677	13088	3.8677	12963	660	12838	350	13587	-0.65	13712	0	13338	-3.9	13462	0	13213	0	13462	142951402	---	---	
13860	-110686	14028	0	15069	71	13860	2	14946	0.0	14523	0	14149	0	14773	0	14648	472	14028	0.2	14399	223.861	14274	714.042	14028	25.14	13860	35.548	15069	30.413	14946	3.8677	14399	3.90411	14274	660	14149	350	14946	-0.65	15069	-1	14648	-3.9	14773	0	14523	0	14773	142951402	---	---	
